name,ring,quadrant,moved,link
Java,ADOPT,Lang,none,
Python,TRIAL,Lang,none,
bash,ADOPT,Lang,up,
SQL,ADOPT,Lang,none,
Go,ASSESS,Lang,up,
Oracle,HOLD,Data,down,
Postgres,ADOPT,Data,up,
Cassandra,TRIAL,Data,up,
Openshift,HOLD,Infra,down,
GraphQL,ADOPT,Tool,up,
Prometheus,ADOPT,Tool,up,
Graphana,ADOPT,Tool,up,
InfluxDB,ASSESS,Data,down,
Graylog,TRIAL,Tool,none,
Zipkin,ASSESS,Tool,up,
Jaeger,ASSESS,Tool,up,
Lens,TRIAL,Tool,up,
Postman/Newman,ADOPT,Tool,up,
Zookeeper,ADOPT,Tool,up,
Maven,ADOPT,Infra,none,
Gitlab,TRIAL,Infra,up,
Jenkins,ADOPT,Infra,none,
Docker,ADOPT,Infra,up,
Kuberntes,ADOPT,Infra,up,
ElasticSearch,TRIAL,Data,up,
Groovy,ASSESS,Lang,up,
Jmeter,ADOPT,Tool,up,
Whisper,HOLD,Data,down,
Graphite,ADOPT,Tool,none,
JavaScript,ASSESS,Lang,none,
NodeJS,ASSESS,Tool,none,
Kafka,ADOPT,Data,none,
svn,HOLD,Tool,down,
git,ADOPT,Tool,up,
MAT,TRIAL,Tool,none,
JMC,TRIAL,Tool,up,
Excel,TRIAL,Tool,none,
Clickhouse,ADOPT,Data,none,
powa,TRIAL,Tool,up,